Student	ID	Homework Assignment #1 (2786783)	Lab #1 (2829219)	Homework Assignment #2 (2786789)	Lab #2 (2786809)	Homework Assignment #3 (2786785)	Lab #3 (2786810)	Homework Assignment #4 (2786784)	Lab #4 (2786811)	Homework Assignment #5 - Quick Answer Portion (2786786)	Homework Assignment #5 - Problem Portion (2786793)	Lab #5 (2856765)	Midterm 1 (2786796)	Homework Assignment #6 (2786791)	Lab #6 (2786812)	Homework Assignment #7 (2786790)	Lab #7 (2786813)	Homework Assignment #8 (2786787)	Midterm 2 (2786797)	Lab #8 (2870743)	Lab #9 - Beam Lab (2786814)	Lab #10 (2786815)	Final Exam (2786798)	Bonus Assignment #9 (2786795)
F42E4	1000164	60	10	55	10	70	10	80	9	21	50	9	55.5	70	9.5	60	9.5	80	82	9	10	10	80.5	11
F42E5	1000165	60	10	60	10	70	10	80	10	21	50	10	51	70	10	60	9	80	50	10	10	10	34.5	55
F42E6	1000166	60	10	60	10	70	10	80	10	21	50	9	65.5	70	10	60	8	70	91	8	10	10	77.5	55
F42E7	1000167	60	9	48	10	70	8	73.5	8	21	45	10	63	64	10	52.5	10	80	90.25	10	10	10	47.5	0
F42E8	1000168	60	10	60	10	70	10	80	13	21	50	10	57	70	10	60	12	80	85	10	9.5	10	72	22
F42E9	1000169	60	10	60	10	68	11	80	12	21	50	11.5	74	70	8	60	10	80	82.5	10	10	10	83.5	55
F42EA	1000170	60	10	60	10	70	10	80	13	21	50	10	83	70	10	60	12	80	89	10	12	12	70.5	33
F42EB	1000171	41	10	60	10	70	10	80	13	21	50	10	63	70	10	60	10	80	75.5	12	10	10	50.5	44
F42EC	1000172	60	0	60	0	70	10	80	13	21	50	10	70	70	10	60	10	55	92.5	10	10	10	88	44
F42ED	1000173	60	10	60	10	70	10	80	13	21	50	10	62	70	10	60	10	80	67	10	10	12	53	
F42EE	1000174	60	10	60	10	70	10	80	13	21	50	10	67	70	10	60	10	80	71	10	10	10	73.5	55
F42EF	1000175	60	10	60	10	70	10	80	10	21	47.5	10	63	70	10	60	10	80	58	10	10	10	63	20
F42F0	1000176	60	10	60	10	70	10	80	13	21	50	10	72	70	10	60	10	80	95.75	10	10	10	69.5	44
F42F1	1000177	0	10	60	10	0	10	74	12	21	50	10	65	70	10	60	10	80	42	10	10	10	56.5	11
F42F2	1000178	46.5	10	44	10	56	10	43.5	13	21	34	10	51	19	10	29.5	10	24.5	61	10	10	10	42	0
F42F3	1000179	60	10	60	13	70	11	80	13	21	50	10	81	70	10	60	10	80	89	10	10	10	94.5	55
F42F4	1000180	0	10	31.5	10	41	10	44.5	10	21	9	10	54	53	10	0	10	0	65.5	10	10	12	36.5	
F42F5	1000181	26.5	10	60	10	70	11	79	11	21	50	12	58	61	9	55.5	6	67.5	66	8	10	10	42	
F42F6	1000182	60	10	60	10	70	10	80	10	21	50	9	92	70	10	60	8	80	90.5	8	10	10	84	55
F42F7	1000183	58.5	10	55.5	10	66	10	80	12	21	47	10	71	70	10	60	10	70	58	10	10	10	72	35.5
F42F8	1000184	60	10	0	10	68	10	80	10	21	50	10	42	49	10	36	10	70	34.5	10	10	10	40	36
F42F9	1000185	60	10	60	10	70	10	80	13	21	50	10	64.5	70	10	60	10	80	92.5	10	10	10	59.5	55
F42FA	1000186	20	10	48.5	11	70	12	80	13	21	47.5	10	56	70	10	5	10	15	34	10	10	10	23.5	0
F42FB	1000187	13.5	10	7.5	11	42	9	9	8	18	20	10	52	10	10	47	10	17	86.5	10	10	10	78.5	
F42FC	1000188	60	10	60	10	70	10	80	13	21	50	10	68	70	10	60	10	80	93.5	12	10	10	71.5	52.5
F42FD	1000189	60	10	60	10	70	10	80	13	21	50	9.5	76	70	10	60	10	80	87.5	10	10	10	85	55
F42FE	1000190	60	10	53	10	70	10	80	11	19	36.5	10	63	65	10	42.5	10	0	72	10	10	10	71	5
F42FF	1000191	60	10	60	10	70	11	80	11	21	50	12	82	70	9	60	6	80	99	8	10	10	75.5	55
F4300	1000192	60	10	60	10	70	10	80	13	21	50	10	75	70	10	60	10	80	94.5	10	10	10	82	55
F4301	1000193	57	10	60	10	70	10	80	13	21	50	10	77.5	70	10	60	12	70	93.25	10	12	12	85	0
F4302	1000194	60	11	60	10	70	10	80	13	21	50	10	48.5	70	10	60	10	80	86.25	10	10	10	74	55
F4303	1000195	60		60	10	70	10	80	10	21	50	10	58	70	10	60	10	70	85.25	9.5	9.5	10	70.5	55
F4304	1000196	43.5	10	53	11	70	12	77	13	21	47.5	10	59	57	10	52.5	10	70	60	10	10	10	56.5	
F4305	1000197	60		60	10	70	10	73	13	21	50	10	77.5	67	10	60	10	65	94	10	10	10	62.5	28
F4306	1000198	60	10	60	10	70	10	80	10	21	50	10	71	70	10	60	10	80	72	10	10	10	71.5	44
F4307	1000199	60	10	60	10	70	10	80	10	21	50	10	82	42	10	60	10	80	83	10	10	10	63.5	45
F4308	1000200	60	10	60	10	70	10	80	13	21	50	10	54	70	10	60	10	80	29	10	10	10	65	33
F4309	1000201	60	10	60	10	70	10	80	13	21	50	10	78	70	10	54.5	10	70	87.25	10	10	10	63.5	
F430A	1000202	60	10	60	10	70	10	80	10	21	50	10	79.5	70	10	60	10	80	70	10	10	10	59	47.5
F430B	1000203	60	10	60	10	70	10	80	12	21	50	10	56	66	10	60	10	60	42	0	10	10	31.5	15
F430C	1000204	60	10	60	10	70	10	80	13	21	50	10	68.5	70	10	60	10	80	83	10	10	10	84	17.5
F430D	1000205	60	10	60	10	70	10	80	10	21	50	12	83	70	10	60	10	70	96	10	10	10	81.5	22
F430E	1000206	60	10	60	10	70	10	80	10	21	50	10	73.5	62	10	60	10	70	81	10	10	10	46	
F430F	1000207	60	10	60	10	70	10	80	13	21	50	10	65	70	10	60	10	80	70	10	10	10	68	38
F4310	1000208	60	10	58	10	62	10	69	10	21	50	10	77.5	66	10	60	10	75.5	90	10	10	10	81.5	41.5
F4311	1000209	60	10	55.5		66	10	80	10	21	37.5	10	59.5	62	10	60	0	60	67	10	10	10	61.5	0
F4312	1000210	60	10	60	10	70	10	80	10	21	50	10	69	70	10	60	9	80	80.5	10	10	10	57	55
F4313	1000211	40	10	0	9	8	9	0	13	21	50	10	45	70	10	55	10	75	77.75	10	10	10	49	55
F4314	1000212	60	10	60	10	70	10	80	13	21	50	10	81	70	10	60	10	80	85	10	10	12	72.5	55
F4315	1000213	60	10	58	10	70	10	80	13	21	50	9.5	61	66	10	55	10	70	68.5	10	10	10	64.5	2
F4316	1000214	60	10	60	10	70	10	80	13	21	50	10	73	70	10	60	12	80	81	10	12	12	55.5	44
F4317	1000215	60	10	60	10	70	10	80	13	21	50	10	82	70	10	60	10	80	76.75	12	10	10	86.5	52.5
F4318	1000216	60	10	60	10	70	10	80	13	21	50	12	76	70	10	60	10	80	87.25	10	12	10	64	55
F4319	1000217	60	10	60	10	70	10	80	11	21	50	8.5	80.5	70	10	60	9.5	80	94.75	10	10	10	83	45
F431A	1000218	60	10	60	10	70	10	80	10	21	50	10	54.5	70	10	60	10	80	89	10	10	10	90	16.5
F431B	1000219	60	10	53	10	70	10	72	12	21	42.5	10	80.5	70	10	60	10	80	73	0	10	10	87.5	17
F431C	1000220	60	10	60	10	70	10	80	13	21	50	9.5	93	70	10	60	10	80	82.5	10	10	10	92	55
F431D	1000221	60	10	60	10	70	10	80	10	21	50	10	64	70	10	60	12	80	55	9.5	9.5	10	59	0
F431E	1000222	39	10	33.5	10	62	10	70.5	13	21	50	10	100	70	10	60	10	70	95.75	10	10	10	86	55
F431F	1000223	60	10	60	10	70	10	80	10	21	50	10	47	70	10	60	10	80	78	10	10	10	61	55
F4320	1000224	60	10	48.5	10	70	10	80	12	21	50	10	48	0	10	0	10	0	37.25	10	10	10	34.5	
F4321	1000225	60	10	60	10	70	10	80	10	21	50	10	85	70	10	60	10	80	82	10	10	10	65	33
F4322	1000226	60	10	53	10	68	10	80	13	21	50	10	72	70	10	60	9.5	60	100	10	9.5	10	77	0
F4323	1000227	60	10	55.5	10	70	10	76	10	21	50	10	56	70	10	60	10	80	36.75	10	10	10	51.5	15
F4324	1000228	60	10	60	10	70	10	80	12	21	50	10	73	70	10	60	10	80	97.25		10	10	77.5	55
F4325	1000229	59		60	10	70	10	80	10	21	45	10	46	70	10	57	10	60	44.25	9.5	9.5	10	60	20
F4326	1000230	60	10	60	10	70	11	80	10	21	50	10	57	70	8	60	8	80	66	10	10	8	76	38
F4327	1000231	60	10	60	10	70	10	80	10	21	50	10	59	70	10	60	10	80	73	10	10	10	73	55
F4328	1000232	37	10	24.5	10	2	11.5	0	13	21	0	11.5	44	18	10	0	10	80	24	10	10	10		
F4329	1000233	60	10	60	9	70	9	80	13	21	50	10	63.5	70	10	60	10	80	89	10	10	10	71	55
F432A	1000234	60	10	60	10	70	10	80	13	21	50	10	60.5	70	10	60	10	80	79	10	10	10	47.5	55
F432B	1000235	60	10	60	10	70	10	80	10	21	50	10	63	70	10	60	10	80	92.25	10	10	10	72	0
F432C	1000236	60	10	60	10	70	10	80	13	21	50	9.5	68	70	10	60	10	80	63.75	10	10	10	69	33
F432D	1000237	58	10	38.5	10	70	10	80	10	21	40	10	76	70	10	60	10	80	84	10	10	10	87.5	55
F432E	1000238	55.5	10	60	13	70	11	80	13	21	50	10	60	66	10	51	10	70	68.5	10	10	10	52.5	0
F432F	1000239	60	10	60	10	70	10	80	13	21	50	10	38	70	10	60	10	80	28	10	10	10	43	55
